Date,Open,High,Low,Close,Adj Close,Volume
2023-03-24,157.389999,157.389999,157.389999,157.389999,157.389999,0
2023-03-27,158.679993,158.679993,158.679993,158.679993,158.679993,0
2023-03-28,159.509995,159.509995,159.509995,159.509995,159.509995,0
2023-03-29,161.089996,161.089996,161.089996,161.089996,161.089996,0
2023-03-30,null,null,null,null,null,null
2023-03-31,164.779999,164.779999,164.779999,164.779999,164.779999,0
2023-04-03,164.050003,164.050003,164.050003,164.050003,164.050003,0
2023-04-04,162.539993,162.539993,162.539993,162.539993,162.539993,0
2023-04-05,161.009995,161.009995,161.009995,161.009995,161.009995,0
2023-04-06,161.039993,161.039993,161.039993,161.039993,161.039993,0
2023-04-10,null,null,null,null,null,null
2023-04-11,162.899994,162.899994,162.899994,162.899994,162.899994,0
2023-04-12,163.820007,163.820007,163.820007,163.820007,163.820007,0
2023-04-13,165.210007,165.210007,165.210007,165.210007,165.210007,0
2023-04-14,164.149994,164.149994,164.149994,164.149994,164.149994,0
2023-04-17,164.369995,164.369995,164.369995,164.369995,164.369995,0
2023-04-18,164.410004,164.410004,164.410004,164.410004,164.410004,0
2023-04-19,164.220001,164.220001,164.220001,164.220001,164.220001,0
2023-04-20,164.350006,164.350006,164.350006,164.350006,164.350006,0
2023-04-21,164.940002,164.940002,164.940002,164.940002,164.940002,0
2023-04-24,165.470001,165.470001,165.470001,165.470001,165.470001,0
2023-04-25,163.130005,163.130005,163.130005,163.130005,163.130005,0
2023-04-26,161.369995,161.369995,161.369995,161.369995,161.369995,0
2023-04-27,162.880005,162.880005,162.880005,162.880005,162.880005,0
2023-04-28,164.240005,164.240005,164.240005,164.240005,164.240005,0
2023-05-01,null,null,null,null,null,null
2023-05-02,163.660004,163.660004,163.660004,163.660004,163.660004,0
2023-05-03,164.529999,164.529999,164.529999,164.529999,164.529999,0
2023-05-04,164.009995,164.009995,164.009995,164.009995,164.009995,0
2023-05-05,165.869995,165.869995,165.869995,165.869995,165.869995,0
2023-05-08,165.520004,165.520004,165.520004,165.520004,165.520004,0
2023-05-09,null,null,null,null,null,null
2023-05-10,165.160004,165.160004,165.160004,165.160004,165.160004,0
2023-05-11,164.050003,164.050003,164.050003,164.050003,164.050003,0
2023-05-12,163.460007,163.460007,163.460007,163.460007,163.460007,0
2023-05-15,164.089996,164.089996,164.089996,164.089996,164.089996,0
2023-05-16,162.619995,162.619995,162.619995,162.619995,162.619995,0
2023-05-17,163.000000,163.000000,163.000000,163.000000,163.000000,0
2023-05-18,null,null,null,null,null,null
2023-05-19,163.910004,163.910004,163.910004,163.910004,163.910004,0
2023-05-22,164.339996,164.339996,164.339996,164.339996,164.339996,0
2023-05-23,162.610001,162.610001,162.610001,162.610001,162.610001,0
2023-05-24,160.229996,160.229996,160.229996,160.229996,160.229996,0
2023-05-25,159.839996,159.839996,159.839996,159.839996,159.839996,0
2023-05-26,161.149994,161.149994,161.149994,161.149994,161.149994,0
2023-05-30,160.500000,160.500000,160.500000,160.500000,160.500000,0
2023-05-31,159.309998,159.309998,159.309998,159.309998,159.309998,0
2023-06-01,160.839996,160.839996,160.839996,160.839996,160.839996,0
2023-06-02,164.880005,164.880005,164.880005,164.880005,164.880005,0
2023-06-05,164.250000,164.250000,164.250000,164.250000,164.250000,0
2023-06-06,165.970001,165.970001,165.970001,165.970001,165.970001,0
2023-06-07,167.149994,167.149994,167.149994,167.149994,167.149994,0
2023-06-08,166.779999,166.779999,166.779999,166.779999,166.779999,0
2023-06-09,166.429993,166.429993,166.429993,166.429993,166.429993,0
2023-06-12,167.059998,167.059998,167.059998,167.059998,167.059998,0
2023-06-13,168.330002,168.330002,168.330002,168.330002,168.330002,0
2023-06-14,168.300003,168.300003,168.300003,168.300003,168.300003,0
2023-06-15,169.350006,169.350006,169.350006,169.350006,169.350006,0
2023-06-16,169.500000,169.500000,169.500000,169.500000,169.500000,0
2023-06-20,167.710007,167.710007,167.710007,167.710007,167.710007,0
2023-06-21,167.740005,167.740005,167.740005,167.740005,167.740005,0
2023-06-22,166.720001,166.720001,166.720001,166.720001,166.720001,0
2023-06-23,null,null,null,null,null,null
2023-06-26,165.179993,165.179993,165.179993,165.179993,165.179993,0
2023-06-27,166.679993,166.679993,166.679993,166.679993,166.679993,0
2023-06-28,166.639999,166.639999,166.639999,166.639999,166.639999,0
2023-06-29,167.309998,167.309998,167.309998,167.309998,167.309998,0
2023-06-30,169.089996,169.089996,169.089996,169.089996,169.089996,0
2023-07-03,168.529999,168.529999,168.529999,168.529999,168.529999,0
2023-07-05,167.070007,167.070007,167.070007,167.070007,167.070007,0
2023-07-06,165.139999,165.139999,165.139999,165.139999,165.139999,0
2023-07-07,165.759995,165.759995,165.759995,165.759995,165.759995,0
2023-07-10,167.460007,167.460007,167.460007,167.460007,167.460007,0
2023-07-11,168.979996,168.979996,168.979996,168.979996,168.979996,0
2023-07-12,171.309998,171.309998,171.309998,171.309998,171.309998,0
2023-07-13,172.089996,172.089996,172.089996,172.089996,172.089996,0
2023-07-14,171.789993,171.789993,171.789993,171.789993,171.789993,0
2023-07-17,171.600006,171.600006,171.600006,171.600006,171.600006,0
2023-07-18,172.110001,172.110001,172.110001,172.110001,172.110001,0
2023-07-19,172.800003,172.800003,172.800003,172.800003,172.800003,0
2023-07-20,173.020004,173.020004,173.020004,173.020004,173.020004,0
2023-07-21,173.660004,173.660004,173.660004,173.660004,173.660004,0
2023-07-24,173.809998,173.809998,173.809998,173.809998,173.809998,0
2023-07-25,174.460007,174.460007,174.460007,174.460007,174.460007,0
2023-07-26,174.800003,174.800003,174.800003,174.800003,174.800003,0
2023-07-27,173.919998,173.919998,173.919998,173.919998,173.919998,0
2023-07-28,174.539993,174.539993,174.539993,174.539993,174.539993,0
2023-07-31,174.160004,174.160004,174.160004,174.160004,174.160004,0
2023-08-01,173.220001,173.220001,173.220001,173.220001,173.220001,0
2023-08-02,172.110001,172.110001,172.110001,172.110001,172.110001,0
2023-08-03,170.240005,170.240005,170.240005,170.240005,170.240005,0
2023-08-04,170.800003,170.800003,170.800003,170.800003,170.800003,0
2023-08-07,171.789993,171.789993,171.789993,171.789993,171.789993,0
2023-08-08,170.630005,170.630005,170.630005,170.630005,170.630005,0
2023-08-09,170.330002,170.330002,170.330002,170.330002,170.330002,0
2023-08-10,170.990005,170.990005,170.990005,170.990005,170.990005,0
2023-08-11,170.509995,170.509995,170.509995,170.509995,170.509995,0
2023-08-14,170.630005,170.630005,170.630005,170.630005,170.630005,0
2023-08-15,null,null,null,null,null,null
2023-08-16,168.210007,168.210007,168.210007,168.210007,168.210007,0
2023-08-17,165.460007,165.460007,165.460007,165.460007,165.460007,0
2023-08-18,165.190002,165.190002,165.190002,165.190002,165.190002,0
2023-08-21,164.600006,164.600006,164.600006,164.600006,164.600006,0
2023-08-22,165.179993,165.179993,165.179993,165.179993,165.179993,0
2023-08-23,166.440002,166.440002,166.440002,166.440002,166.440002,0
2023-08-24,165.380005,165.380005,165.380005,165.380005,165.380005,0
2023-08-25,165.940002,165.940002,165.940002,165.940002,165.940002,0
2023-08-28,167.080002,167.080002,167.080002,167.080002,167.080002,0
2023-08-29,168.949997,168.949997,168.949997,168.949997,168.949997,0
2023-08-30,169.779999,169.779999,169.779999,169.779999,169.779999,0
2023-08-31,169.449997,169.449997,169.449997,169.449997,169.449997,0
2023-09-01,169.600006,169.600006,169.600006,169.600006,169.600006,0
2023-09-05,166.279999,166.279999,166.279999,166.279999,166.279999,0
2023-09-06,165.399994,165.399994,165.399994,165.399994,165.399994,0
2023-09-07,164.300003,164.300003,164.300003,164.300003,164.300003,0
2023-09-08,163.179993,163.179993,163.179993,163.179993,163.179993,0
2023-09-11,163.970001,163.970001,163.970001,163.970001,163.970001,0
2023-09-12,163.080002,163.080002,163.080002,163.080002,163.080002,0
2023-09-13,162.669998,162.669998,162.669998,162.669998,162.669998,0
2023-09-14,164.389999,164.389999,164.389999,164.389999,164.389999,0
2023-09-15,163.570007,163.570007,163.570007,163.570007,163.570007,0
2023-09-18,162.669998,162.669998,162.669998,162.669998,162.669998,0
2023-09-19,162.169998,162.169998,162.169998,162.169998,162.169998,0
2023-09-20,161.979996,161.979996,161.979996,161.979996,161.979996,0
2023-09-21,158.990005,158.990005,158.990005,158.990005,158.990005,0
2023-09-22,158.440002,158.440002,158.440002,158.440002,158.440002,0
2023-09-25,158.300003,158.300003,158.300003,158.300003,158.300003,0
